timestamp,perturbation_id,body_name,start_time,duration,elapsed_time,force_x,force_y,force_z,force_magnitude,torque_x,torque_y,torque_z,torque_magnitude,std_pose_x,std_pose_y,std_pose_z,world_force_x,world_force_y,world_force_z,world_force_magnitude
23.680000,1,"LINK_TORSO_YAW",23.679000,0.200000,0.001000,20.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.000000,0.910900,14.988767,13.238581,0.277164,20.000000
23.681000,1,"LINK_TORSO_YAW",23.679000,0.200000,0.002000,20.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.000000,0.910900,14.985608,13.242069,0.281354,20.000000
23.682000,1,"LINK_TORSO_YAW",23.679000,0.200000,0.003000,20.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.000000,0.910900,14.982454,13.245552,0.285365,20.000000
23.683000,1,"LINK_TORSO_YAW",23.679000,0.200000,0.004000,20.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.000000,0.910900,14.979331,13.249003,0.289082,20.000000
23.684000,1,"LINK_TORSO_YAW",23.679000,0.200000,0.005000,20.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.000000,0.910900,14.976234,13.252429,0.292465,20.000000
23.685000,1,"LINK_TORSO_YAW",23.679000,0.200000,0.006000,20.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.000000,0.910900,14.973160,13.255835,0.295458,20.000000
23.686000,1,"LINK_TORSO_YAW",23.679000,0.200000,0.007000,20.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.000000,0.910900,14.970113,13.259220,0.298024,20.000000
23.687000,1,"LINK_TORSO_YAW",23.679000,0.200000,0.008000,20.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.000000,0.910900,14.967085,13.262591,0.300115,20.000000
23.688000,1,"LINK_TORSO_YAW",23.679000,0.200000,0.009000,20.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.000000,0.910900,14.964077,13.265949,0.301685,20.000000
23.689000,1,"LINK_TORSO_YAW",23.679000,0.200000,0.010000,20.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.000000,0.910900,14.961111,13.269270,0.302726,20.000000
23.690000,1,"LINK_TORSO_YAW",23.679000,0.200000,0.011000,20.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.000000,0.910900,14.958171,13.272573,0.303194,20.000000
23.691000,1,"LINK_TORSO_YAW",23.679000,0.200000,0.012000,20.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.000000,0.910900,14.955262,13.275842,0.303553,20.000000
23.692000,1,"LINK_TORSO_YAW",23.679000,0.200000,0.013000,20.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.000000,0.910900,14.952363,13.279103,0.303747,20.000000
23.693000,1,"LINK_TORSO_YAW",23.679000,0.200000,0.014000,20.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.000000,0.910900,14.949500,13.282327,0.303721,20.000000
23.694000,1,"LINK_TORSO_YAW",23.679000,0.200000,0.015000,20.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.000000,0.910900,14.946639,13.285553,0.303445,20.000000
